"","X","Location","Transect","Quadrat","Record_location","Canopy_cover","Leaf_litter_cover","Live_plant_cover","Species","Age","Condition","Recruitment","Multi_stemmed","Height_.m.","Average_height","Height_variation","DBH","Average_DBH","DBH_variation","Cone_presence","Cone_number","Ort_number","Ort_colour","Latitude","Longitude","Year_measured","Fire_freq","Last_burn","TSF","FPC","Precip","Temp","TWI"
"50",50,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.52,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"51",51,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.53,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"52",52,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.81,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"53",53,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.74,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"54",54,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.65,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"55",55,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.34,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"56",56,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.53,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"57",57,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.62,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"58",58,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.5,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
"59",59,"Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.43,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.26666641,49.20171356,410.317688,6.79016923904419
