Location,Transect,Fire_freq,Fire_freq_category,Collection_datae,Species,Seed_lot,Seed_colour,Number_treatments_possible,Number_seeds_post_thermogradient,Number_seeds,Seed_mass_10_seeds_(g),See_lot_mass_(g),Number_cones,Seed_mass/cone,Cone_length,Cone_width
Mount Barney Lodge,BTLit3,0,Low,13/07/2023,littoralis,WPS171,Dark brown,6.483193277,,389,0.0238,0.9258,8,0.115725,1.74,1.51
,,,,,,,,,,,,,507,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
