Location,Transect,Fire_freq,Fire_freq_category,Collection_datae,Species,Seed_lot,Seed_colour,Number_treatments_possible,Number_seeds_post_thermogradient,Number_seeds,Seed_mass_10_seeds_(g),See_lot_mass_(g),Number_cones,Seed_mass/cone,Cone_length,Cone_width,Viable,Inviable,Proportion_viable
Lockyer - Garrett property,LL7,1,low,17/03/2023,torulosa,WPS62,Medium brown,5.466666667,,328,0.0521,1.707,8,0.213375,2.39,2.18,93,7,0.283848858
Lockyer - Garrett property,LL7,1,low,17/03/2023,torulosa,WPS63,Dark brown,2.866666667,,172,0.0579,0.995,7,0.142142857,1.91,2.15,66,34,0.384060302
Lockyer - Garrett property,LL7,1,low,17/03/2023,torulosa,WPS64,Medium brown,1.633333333,,98,0.0527,0.517,5,0.1034,2.02,2.12,41,59,0.417930368
Lockyer - Garrett property,LL7,1,low,17/03/2023,torulosa,WPS65,Dark brown,3.033333333,,182,0.0494,0.9,7,0.128571429,2.31,2.01,85,15,0.466555556
Lockyer - Garrett property,LL5,1,low,4/05/2023,torulosa,WPS71,Dark brown,5.35,,321,0.037,1.1859,11,0.107809091,2.07,1.7,87,13,0.271439413
Lockyer - Garrett property,LL8,1,low,4/05/2023,torulosa,WPS73,Dark brown,30.66666667,1640,1840,0.042,7.7272,73,0.105852055,1.92,1.68,77,23,0.041852159
Lockyer - Garrett property,LL,1,low,4/05/2023,torulosa,Testing1,Dark brown,74.76666667,4286,4486,0.0454,20.3659,138,0.147578986,2.39,2.01,,,
Lockyer - Garrett property,LL,1,low,4/05/2023,torulosa,Testing2,Medium brown,49.18333333,2751,2951,0.0331,9.7673,121,0.080721488,1.93,1.88,,,
Lockyer - Garrett property,LL8,1,low,4/05/2023,torulosa,WPS75,Dark brown,1.583333333,,95,0.0383,0.3629,7,0.051842857,2.33,1.95,83,17,0.875971342
Lockyer - Garrett property,LL3,1,low,18/05/2023,torulosa,WPS77,Medium brown,3.766666667,,226,0.0704,1.5906,10,0.15906,2.32,2.09,58,42,0.25670816
Lockyer - Garrett property,LL3,1,low,18/05/2023,torulosa,WPS78,Dark brown,6.266666667,,376,0.0466,1.7539,13,0.134915385,1.94,1.9,83,17,0.220525686
Lockyer - Garrett property,LL3,1,low,18/05/2023,torulosa,WPS80,Dark brown,0.183333333,,11,0.532,0.5809,4,0.145225,2.23,2.05,96,4,8.791874677
Lockyer - Garrett property,LL4,1,low,18/05/2023,torulosa,WPS82,Dark brown,2.616666667,,157,0.0461,0.7245,6,0.12075,2.38,1.81,90,10,0.572670807
Lockyer - Garrett property,LL4,1,low,18/05/2023,torulosa,WPS83,Medium brown,1.8,,108,0.0505,0.5453,5,0.10906,2.26,2.65,62,38,0.574179351
Lockyer - Garrett property,LL4,1,low,18/05/2023,torulosa,WPS84,Dark brown,7.533333333,,452,0.0529,2.3899,16,0.14936875,2.58,1.81,89,11,0.196999874
Main Range National Park,MTL1,3,low,28/06/2023,torulosa,WPS112,Black,2.7,,162,0.0696,1.1301,4,0.282525,2.93,2.36,92,8,0.566604725
Main Range National Park,MTL1,1,low,20/06/2023,torulosa,WPS113,Dark brown,12.28333333,,737,0.0477,3.5174,19,0.185126316,2.44,2.21,86,14,0.116625917
Main Range National Park,MTL1,2,low,20/06/2023,torulosa,WPS114,Dark brown,1.75,,105,0.028,0.2931,5,0.05862,2.1,2.03,70,30,0.66871375
Mount Barney National Park,BTH2,3,low,10/07/2023,torulosa,WPS122,Dark brown,8.75,,525,0.0453,2.3783,24,0.099095833,1.68,1.8,80,20,0.152377749
Mount Barney National Park,BTH2,3,low,10/07/2023,torulosa,WPS123,Dark brown,8.25,,495,0.0415,2.0563,22,0.093468182,1.98,2.02,88,12,0.177600545
Mount Barney National Park,BTH1,3,low,10/07/2023,torulosa,WPS130,Dark brown,15.33333333,,920,0.0471,4.3319,30,0.144396667,2.81,2.09,87,10,0.094593596
Mount Barney National Park,BTLit1,0,low,11/07/2023,torulosa,WPS138,Dark brown,2.5,,150,0.0338,0.5075,11,0.046136364,1.95,1.59,80,20,0.532807882
Mount Barney National Park,BTL1,3,low,11/07/2023,torulosa,WPS146,Dark brown,1.133333333,,68,0.0531,0.3606,5,0.07212,2.82,2.43,85,15,1.251663894
Mount Barney National Park,BTL1,3,low,11/07/2023,torulosa,WPS147,Dark brown,9.65,,579,0.0645,3.7366,24,0.155691667,2.39,2.14,82,18,0.14154579
Mount Barney National Park,BTL1,3,low,11/07/2023,torulosa,WPS148,Medium brown,3.3,,198,0.036,0.7124,8,0.08905,2.19,1.96,89,11,0.449747333
Mount Barney National Park,BTL1,3,low,11/07/2023,torulosa,WPS149,Dark brown,11.61666667,,697,0.0386,2.6901,26,0.103465385,2.07,1.79,84,17,0.120530835
Mount Barney National Park,BTL1,3,low,11/07/2023,torulosa,WPS150,Dark brown,4.6,,276,0.0543,1.5006,8,0.187575,2.36,1.81,90,10,0.325669732
Mount Barney National Park-Gillies Ridge,GIL,1,low,12/07/2023,torulosa,WPS163,Black,0.95,,57,0.0579,0.3304,7,0.0472,2.31,1.92,72,21,1.261743341
Mount Barney Lodge,BTL2,0,low,13/07/2023,torulosa,WPS168,Dark brown,2.55,,153,0.0474,0.7257,5,0.14514,2.16,1.96,94,6,0.613972716
Mount Barney Lodge,BTL2,0,low,13/07/2023,torulosa,WPS170,Dark brown,5.55,,333,0.0286,0.9515,7,0.135928571,2.04,1.75,68,32,0.204393064
Mount Barney Lodge,BTL2,0,low,13/07/2023,torulosa,WPS172,Dark brown,2.1,,126,0.0526,0.6647,7,0.094957143,2.16,1.9,91,8,0.720114337
Mount Barney Lodge,BTL2,0,low,13/07/2023,torulosa,WPS173,Dark brown,0.766666667,,46,0.0411,0.1888,2,0.0944,2.03,1.78,36,26,0.783686441
Mount Barney Lodge,BTL2,0,low,13/07/2023,torulosa,WPS174,Dark brown,2.666666667,,160,0.0639,1.0243,6,0.170716667,2.25,1.9,97,3,0.605125452
Mount Barney Lodge,BTL2,0,low,13/07/2023,torulosa,WPS175,Dark brown,2.733333333,,164,0.0403,0.6597,6,0.10995,2.65,2.02,28,72,0.171047446
Bartopia Nature Refuge,BAR1,3,low,19/07/2023,torulosa,WPS187,Medium brown,2.116666667,,127,0.0465,0.5891,3,0.196366667,2.37,1.88,94,6,0.74197929
Bartopia Nature Refuge,BAR2,3,low,19/07/2023,torulosa,WPS192,Dark brown,1.766666667,,106,0.0449,0.4749,4,0.118725,2.34,2.21,77,23,0.728005896
Bartopia Nature Refuge,BAR2,3,low,19/07/2023,torulosa,WPS195,Dark brown,2.666666667,,160,0.0475,0.7584,7,0.108342857,2.47,2.04,93,7,0.582476266
Bartopia Nature Refuge,BAR2,3,low,19/07/2023,torulosa,WPS196,Dark brown,4.95,,297,0.042,1.2489,10,0.12489,2.61,2.15,40,60,0.134518376
Bartopia Nature Refuge,BAR2,3,low,20/07/2023,torulosa,WPS197,Dark brown,11.98333333,,719,0.0342,2.4574,14,0.175528571,2.53,2.15,77,23,0.107162041
Bulimbah Nature Refuge,BUL2,3,low,20/07/2023,torulosa,WPS201,Dark brown,3.033333333,,182,0.0236,0.4299,6,0.07165,2.36,1.98,30,67,0.164689463
Bulimbah Nature Refuge,BUL2,3,low,20/07/2023,torulosa,WPS202,Dark brown,2.783333333,,167,0.0614,1.0245,6,0.17075,2.63,2.24,89,11,0.533391898
,,,,,,,,,,,,,1092,,,,,,
