Replicate	Treatment	Species	Group	X-ray_proportion_viable	TTC_proportion_viable	Individual
3	H95	torulosa	lowfi	0.68	0.6	WPS170
3	H95	torulosa	lowfi	0.28	0.3	WPS175
3	H95	torulosa	lowfi	0.94	0.9	WPS187
3	H95	torulosa	lowfi	0.77	0.6	WPS192
3	H95	torulosa	lowfi	0.4	0.4	WPS196
3	S	torulosa	lowfi	0.86	0.7	WPS57
3	S	torulosa	lowfi	0.87	0.85	WPS59
3	S	torulosa	lowfi	0.96	0.9	WPS61
3	S	torulosa	lowfi	0.77	0.85	WPS73
3	S	torulosa	lowfi	0.58	0.6	WPS77
3	S	torulosa	lowfi	0.83	0.75	WPS78
3	S	torulosa	lowfi	0.92	0.85	WPS112
3	S	torulosa	lowfi	0.86	0.95	WPS113
3	S	torulosa	lowfi	0.88	0.6	WPS123
3	S	torulosa	lowfi	0.89	0.9	WPS148
3	S	torulosa	lowfi	0.9	1	WPS150
3	S	torulosa	lowfi	0.94	0.95	WPS168
3	S	torulosa	lowfi	0.97	0.95	WPS174
3	S	torulosa	lowfi	0.4	0.1	WPS196
3	S	torulosa	lowfi	0.89	0.95	WPS202
3	H80+S	torulosa	lowfi	0.93	0.95	WPS60
3	H80+S	torulosa	lowfi	0.96	0.95	WPS61
3	H80+S	torulosa	lowfi	0.93	0.9	WPS62
3	H80+S	torulosa	lowfi	0.77	1	WPS73
3	H80+S	torulosa	lowfi	0.83	0.85	WPS78
3	H80+S	torulosa	lowfi	0.9	0.95	WPS82
3	H80+S	torulosa	lowfi	0.89	0.75	WPS84
3	H80+S	torulosa	lowfi	0.86	0.95	WPS113
3	H80+S	torulosa	lowfi	0.8	0.85	WPS122
3	H80+S	torulosa	lowfi	0.88	0.75	WPS123
3	H80+S	torulosa	lowfi	0.89	0.85	WPS130
3	H80+S	torulosa	lowfi	0.82	0.95	WPS147
3	H80+S	torulosa	lowfi	0.83	0.8	WPS149
3	H80+S	torulosa	lowfi	0.28	0.25	WPS175
3	H80+S	torulosa	lowfi	0.77	0.8	WPS197
3	H95+S	torulosa	lowfi	0.64	0.35	WPS58
3	H95+S	torulosa	lowfi	0.96	0.9	WPS61
3	H95+S	torulosa	lowfi	0.85	0.6	WPS65
3	H95+S	torulosa	lowfi	0.87	0.8	WPS71
3	H95+S	torulosa	lowfi	0.77	0.85	WPS73
3	H95+S	torulosa	lowfi	0.58	0.45	WPS77
3	H95+S	torulosa	lowfi	0.89	0.7	WPS84
3	H95+S	torulosa	lowfi	0.92	0.85	WPS112
3	H95+S	torulosa	lowfi	0.7	0.1	WPS114
3	H95+S	torulosa	lowfi	0.8	0.45	WPS138
3	H95+S	torulosa	lowfi	0.89	0.65	WPS148
3	H95+S	torulosa	lowfi	0.83	0.75	WPS149
3	H95+S	torulosa	lowfi	0.91	0.9	WPS172
3	H95+S	torulosa	lowfi	0.33	0	WPS201
3	H95+S	torulosa	lowfi	0.89	0.9	WPS202
3	C	littoralis	NA	0.9	0.85	WPS87
3	C	littoralis	NA	1	0.85	WPS91
3	C	littoralis	NA	0.94	1	WPS93
3	C	littoralis	NA	0.94	1	WPS94
3	C	littoralis	NA	0.78	0.9	WPS96
3	C	littoralis	NA	0.95	0.9	WPS108
3	C	littoralis	NA	0.95	0.85	WPS109
3	C	littoralis	NA	0.75	0.7	WPS135
3	C	littoralis	NA	0.91	0.95	WPS137
3	C	littoralis	NA	0.92	0.9	WPS139
3	C	littoralis	NA	0.74	0.5	WPS142
3	C	littoralis	NA	0.12	0.25	WPS144
3	C	littoralis	NA	0.78	0.8	WPS145
3	C	littoralis	NA	0.72	0.8	WPS152
3	C	littoralis	NA	0.85	0.65	WPS154
3	H80	littoralis	NA	1	0.85	WPS127
3	H80	littoralis	NA	0.95	0.85	WPS128
3	H80	littoralis	NA	0.67	0.55	WPS89
3	H80	littoralis	NA	0.99	0.9	WPS90
3	H80	littoralis	NA	1	0.95	WPS91
3	H80	littoralis	NA	0.89	0.8	WPS92
3	H80	littoralis	NA	0.94	0.75	WPS94
3	H80	littoralis	NA	0.91	0.8	WPS107
3	H80	littoralis	NA	0.81	0.9	WPS111
3	H80	littoralis	NA	0.91	0.8	WPS137
3	H80	littoralis	NA	0.95	1	WPS140
3	H80	littoralis	NA	0.84	0.4	WPS141
3	H80	littoralis	NA	0.85	0.8	WPS154
3	H80	littoralis	NA	0.97	1	WPS156
3	H80	littoralis	NA	0.93	0.9	WPS169
3	H95	littoralis	NA	0.95	0.95	WPS128
3	H95	littoralis	NA	0.79	1	WPS88
3	H95	littoralis	NA	0.89	0.85	WPS92
3	H95	littoralis	NA	0.93	0.85	WPS93
3	H95	littoralis	NA	0.96	0.65	WPS95
3	H95	littoralis	NA	0.95	0.9	WPS108
3	H95	littoralis	NA	0.93	0.9	WPS109
3	H95	littoralis	NA	0.95	0.85	WPS110
3	H95	littoralis	NA	0.92	0.95	WPS129
3	H95	littoralis	NA	0.79	0.8	WPS136
3	H95	littoralis	NA	0.96	0.85	WPS143
3	H95	littoralis	NA	0.12	0.05	WPS144
3	H95	littoralis	NA	0.78	0.7	WPS145
3	H95	littoralis	NA	0.79	0.7	WPS153
3	H95	littoralis	NA	0.88	0.8	WPS171
3	S	littoralis	NA	0.95	0.95	WPS87
3	S	littoralis	NA	0.9	0.8	WPS89
3	S	littoralis	NA	0.67	0.75	WPS90
3	S	littoralis	NA	0.99	1	WPS95
3	S	littoralis	NA	0.96	0.9	WPS96
3	S	littoralis	NA	0.78	0.5	WPS128
3	S	littoralis	NA	0.75	0.7	WPS135
3	S	littoralis	NA	0.79	0.9	WPS136
3	S	littoralis	NA	0.95	1	WPS140
3	S	littoralis	NA	0.84	0.95	WPS141
3	S	littoralis	NA	0.74	0.55	WPS142
3	S	littoralis	NA	0.12	0.1	WPS144
3	S	littoralis	NA	0.72	0.8	WPS152
3	S	littoralis	NA	0.87	0.75	WPS157
3	S	littoralis	NA	0.93	1	WPS169
3	H80+S	littoralis	NA	0.95	0.95	WPS88
3	H80+S	littoralis	NA	0.79	0.75	WPS90
3	H80+S	littoralis	NA	0.99	0.95	WPS94
3	H80+S	littoralis	NA	0.94	0.9	WPS95
3	H80+S	littoralis	NA	0.96	0.75	WPS107
3	H80+S	littoralis	NA	0.91	0.85	WPS109
3	H80+S	littoralis	NA	0.93	0.95	WPS128
3	H80+S	littoralis	NA	0.92	1	WPS129
3	H80+S	littoralis	NA	0.95	0.9	WPS140
3	H80+S	littoralis	NA	0.84	0.5	WPS142
3	H80+S	littoralis	NA	0.79	0.75	WPS153
3	H80+S	littoralis	NA	0.85	0.85	WPS154
3	H80+S	littoralis	NA	0.97	0.95	WPS156
3	H80+S	littoralis	NA	0.93	0.85	WPS169
3	H80+S	littoralis	NA	0.88	0.9	WPS171
3	H95+S	littoralis	NA	0.92	0.85	WPS3
3	H95+S	littoralis	NA	1	0.95	WPS89
3	H95+S	littoralis	NA	0.67	0.85	WPS92
3	H95+S	littoralis	NA	0.89	0.9	WPS96
3	H95+S	littoralis	NA	0.78	0.85	WPS107
3	H95+S	littoralis	NA	0.91	0.75	WPS108
3	H95+S	littoralis	NA	0.95	1	WPS110
3	H95+S	littoralis	NA	0.95	0.8	WPS127
3	H95+S	littoralis	NA	0.75	0.9	WPS135
3	H95+S	littoralis	NA	0.84	0.95	WPS141
3	H95+S	littoralis	NA	0.96	1	WPS143
3	H95+S	littoralis	NA	0.73	1	WPS151
3	H95+S	littoralis	NA	0.72	0.75	WPS152
3	H95+S	littoralis	NA	0.97	0.9	WPS156
3	H95+S	littoralis	NA	0.87	0.75	WPS157
